imagem,fator_luminancia,deteccoes_validas,confianca_media
20260411_095437.jpg,0.1,0,0.0
20260411_095437.jpg,0.2,0,0.0
20260411_095437.jpg,0.3,0,0.0
20260411_095437.jpg,0.4,0,0.0
20260411_095437.jpg,0.5,1,0.2901
20260411_095437.jpg,0.6,1,0.3241
20260411_095437.jpg,0.7,1,0.369
20260411_095437.jpg,0.8,2,0.3339
20260411_095437.jpg,0.9,3,0.3205
20260411_095437.jpg,1.0,4,0.3042
20260411_095437.jpg,1.1,5,0.3057
20260411_095437.jpg,1.2,6,0.2995
20260411_095437.jpg,1.3,4,0.3338
20260411_095437.jpg,1.4,3,0.3498
20260411_095437.jpg,1.5,4,0.312
20260411_095437.jpg,0.1,0,0.0
20260411_095437.jpg,0.2,0,0.0
20260411_095437.jpg,0.3,0,0.0
20260411_095437.jpg,0.4,0,0.0
20260411_095437.jpg,0.5,1,0.2901
20260411_095437.jpg,0.6,1,0.3241
20260411_095437.jpg,0.7,1,0.369
20260411_095437.jpg,0.8,2,0.3339
20260411_095437.jpg,0.9,3,0.3205
20260411_095437.jpg,1.0,4,0.3042
20260411_095437.jpg,1.1,5,0.3057
20260411_095437.jpg,1.2,6,0.2995
20260411_095437.jpg,1.3,4,0.3338
20260411_095437.jpg,1.4,3,0.3498
20260411_095437.jpg,1.5,4,0.312
20260411_095445.jpg,0.1,0,0.0
20260411_095445.jpg,0.2,0,0.0
20260411_095445.jpg,0.3,0,0.0
20260411_095445.jpg,0.4,0,0.0
20260411_095445.jpg,0.5,0,0.0
20260411_095445.jpg,0.6,0,0.0
20260411_095445.jpg,0.7,0,0.0
20260411_095445.jpg,0.8,0,0.0
20260411_095445.jpg,0.9,0,0.0
20260411_095445.jpg,1.0,0,0.0
20260411_095445.jpg,1.1,0,0.0
20260411_095445.jpg,1.2,0,0.0
20260411_095445.jpg,1.3,0,0.0
20260411_095445.jpg,1.4,0,0.0
20260411_095445.jpg,1.5,2,0.2914
20260411_095445.jpg,0.1,0,0.0
20260411_095445.jpg,0.2,0,0.0
20260411_095445.jpg,0.3,0,0.0
20260411_095445.jpg,0.4,0,0.0
20260411_095445.jpg,0.5,0,0.0
20260411_095445.jpg,0.6,0,0.0
20260411_095445.jpg,0.7,0,0.0
20260411_095445.jpg,0.8,0,0.0
20260411_095445.jpg,0.9,0,0.0
20260411_095445.jpg,1.0,0,0.0
20260411_095445.jpg,1.1,0,0.0
20260411_095445.jpg,1.2,0,0.0
20260411_095445.jpg,1.3,0,0.0
20260411_095445.jpg,1.4,0,0.0
20260411_095445.jpg,1.5,2,0.2914
20260411_095448.jpg,0.1,0,0.0
20260411_095448.jpg,0.2,3,0.3004
20260411_095448.jpg,0.3,3,0.3697
20260411_095448.jpg,0.4,4,0.3779
20260411_095448.jpg,0.5,3,0.4263
20260411_095448.jpg,0.6,3,0.4309
20260411_095448.jpg,0.7,4,0.4066
20260411_095448.jpg,0.8,4,0.4084
20260411_095448.jpg,0.9,4,0.411
20260411_095448.jpg,1.0,5,0.3779
20260411_095448.jpg,1.1,4,0.4222
20260411_095448.jpg,1.2,4,0.4299
20260411_095448.jpg,1.3,5,0.3971
20260411_095448.jpg,1.4,5,0.4016
20260411_095448.jpg,1.5,5,0.4057
20260411_095448.jpg,0.1,0,0.0
20260411_095448.jpg,0.2,3,0.3004
20260411_095448.jpg,0.3,3,0.3697
20260411_095448.jpg,0.4,4,0.3779
20260411_095448.jpg,0.5,3,0.4263
20260411_095448.jpg,0.6,3,0.4309
20260411_095448.jpg,0.7,4,0.4066
20260411_095448.jpg,0.8,4,0.4084
20260411_095448.jpg,0.9,4,0.411
20260411_095448.jpg,1.0,5,0.3779
20260411_095448.jpg,1.1,4,0.4222
20260411_095448.jpg,1.2,4,0.4299
20260411_095448.jpg,1.3,5,0.3971
20260411_095448.jpg,1.4,5,0.4016
20260411_095448.jpg,1.5,5,0.4057
20260411_095448_resized.jpg,0.1,0,0.0
20260411_095448_resized.jpg,0.2,0,0.0
20260411_095448_resized.jpg,0.3,2,0.2819
20260411_095448_resized.jpg,0.4,2,0.3096
20260411_095448_resized.jpg,0.5,2,0.3102
