imagem,fator_escala,n_deteccoes
20260411_095437.jpg,1.0,5
20260411_095437.jpg,0.75,4
20260411_095437.jpg,0.5,4
20260411_095437.jpg,0.4,2
20260411_095437.jpg,0.3,3
20260411_095437.jpg,0.25,3
20260411_095437.jpg,0.2,2
20260411_095437.jpg,0.15,3
20260411_095437.jpg,1.0,5
20260411_095437.jpg,0.75,4
20260411_095437.jpg,0.5,4
20260411_095437.jpg,0.4,2
20260411_095437.jpg,0.3,3
20260411_095437.jpg,0.25,3
20260411_095437.jpg,0.2,2
20260411_095437.jpg,0.15,3
20260411_095445.jpg,1.0,0
20260411_095445.jpg,0.75,0
20260411_095445.jpg,0.5,0
20260411_095445.jpg,0.4,0
20260411_095445.jpg,0.3,0
20260411_095445.jpg,0.25,0
20260411_095445.jpg,0.2,0
20260411_095445.jpg,0.15,1
20260411_095445.jpg,1.0,0
20260411_095445.jpg,0.75,0
20260411_095445.jpg,0.5,0
20260411_095445.jpg,0.4,0
20260411_095445.jpg,0.3,0
20260411_095445.jpg,0.25,0
20260411_095445.jpg,0.2,0
20260411_095445.jpg,0.15,1
20260411_095448.jpg,1.0,5
20260411_095448.jpg,0.75,5
20260411_095448.jpg,0.5,5
20260411_095448.jpg,0.4,5
20260411_095448.jpg,0.3,5
20260411_095448.jpg,0.25,5
20260411_095448.jpg,0.2,5
20260411_095448.jpg,0.15,5
20260411_095448.jpg,1.0,5
20260411_095448.jpg,0.75,5
20260411_095448.jpg,0.5,5
20260411_095448.jpg,0.4,5
20260411_095448.jpg,0.3,5
20260411_095448.jpg,0.25,5
20260411_095448.jpg,0.2,5
20260411_095448.jpg,0.15,5
20260411_095448_resized.jpg,1.0,4
20260411_095448_resized.jpg,0.75,4
20260411_095448_resized.jpg,0.5,3
20260411_095448_resized.jpg,0.4,4
20260411_095448_resized.jpg,0.3,4
20260411_095448_resized.jpg,0.25,4
20260411_095448_resized.jpg,0.2,4
20260411_095448_resized.jpg,0.15,4
20260411_095448_resized.jpg,1.0,4
20260411_095448_resized.jpg,0.75,4
20260411_095448_resized.jpg,0.5,3
20260411_095448_resized.jpg,0.4,4
20260411_095448_resized.jpg,0.3,4
20260411_095448_resized.jpg,0.25,4
20260411_095448_resized.jpg,0.2,4
20260411_095448_resized.jpg,0.15,4
20260411_095511.jpg,1.0,1
20260411_095511.jpg,0.75,1
20260411_095511.jpg,0.5,1
20260411_095511.jpg,0.4,1
20260411_095511.jpg,0.3,0
20260411_095511.jpg,0.25,0
20260411_095511.jpg,0.2,0
20260411_095511.jpg,0.15,2
20260411_095511.jpg,1.0,1
20260411_095511.jpg,0.75,1
20260411_095511.jpg,0.5,1
20260411_095511.jpg,0.4,1
20260411_095511.jpg,0.3,0
20260411_095511.jpg,0.25,0
20260411_095511.jpg,0.2,0
20260411_095511.jpg,0.15,2
DSCN7611.JPG,1.0,3
DSCN7611.JPG,0.75,3
DSCN7611.JPG,0.5,3
DSCN7611.JPG,0.4,3
DSCN7611.JPG,0.3,3
DSCN7611.JPG,0.25,3
DSCN7611.JPG,0.2,3
DSCN7611.JPG,0.15,3
DSCN7611.JPG,1.0,3
DSCN7611.JPG,0.75,3
DSCN7611.JPG,0.5,3
DSCN7611.JPG,0.4,3
DSCN7611.JPG,0.3,3
DSCN7611.JPG,0.25,3
DSCN7611.JPG,0.2,3
DSCN7611.JPG,0.15,3
DSCN7612.JPG,1.0,4
DSCN7612.JPG,0.75,4
DSCN7612.JPG,0.5,4
DSCN7612.JPG,0.4,4
DSCN7612.JPG,0.3,4
DSCN7612.JPG,0.25,4
DSCN7612.JPG,0.2,4
DSCN7612.JPG,0.15,4
DSCN7612.JPG,1.0,4
DSCN7612.JPG,0.75,4
DSCN7612.JPG,0.5,4
DSCN7612.JPG,0.4,4
DSCN7612.JPG,0.3,4
DSCN7612.JPG,0.25,4
DSCN7612.JPG,0.2,4
DSCN7612.JPG,0.15,4
DSCN7613.JPG,1.0,5
DSCN7613.JPG,0.75,5
DSCN7613.JPG,0.5,5
DSCN7613.JPG,0.4,5
DSCN7613.JPG,0.3,4
DSCN7613.JPG,0.25,5
DSCN7613.JPG,0.2,5
DSCN7613.JPG,0.15,4
DSCN7613.JPG,1.0,5
DSCN7613.JPG,0.75,5
DSCN7613.JPG,0.5,5
DSCN7613.JPG,0.4,5
DSCN7613.JPG,0.3,4
DSCN7613.JPG,0.25,5
DSCN7613.JPG,0.2,5
DSCN7613.JPG,0.15,4
DSCN7614.JPG,1.0,1
DSCN7614.JPG,0.75,1
DSCN7614.JPG,0.5,1
DSCN7614.JPG,0.4,1
DSCN7614.JPG,0.3,1
DSCN7614.JPG,0.25,1
DSCN7614.JPG,0.2,1
DSCN7614.JPG,0.15,1
DSCN7614.JPG,1.0,1
DSCN7614.JPG,0.75,1
DSCN7614.JPG,0.5,1
DSCN7614.JPG,0.4,1
DSCN7614.JPG,0.3,1
DSCN7614.JPG,0.25,1
DSCN7614.JPG,0.2,1
DSCN7614.JPG,0.15,1
DSCN7615.JPG,1.0,4
DSCN7615.JPG,0.75,4
DSCN7615.JPG,0.5,4
DSCN7615.JPG,0.4,4
DSCN7615.JPG,0.3,4
DSCN7615.JPG,0.25,5
DSCN7615.JPG,0.2,4
DSCN7615.JPG,0.15,5
DSCN7615.JPG,1.0,4
DSCN7615.JPG,0.75,4
DSCN7615.JPG,0.5,4
DSCN7615.JPG,0.4,4
DSCN7615.JPG,0.3,4
DSCN7615.JPG,0.25,5
DSCN7615.JPG,0.2,4
DSCN7615.JPG,0.15,5
DSCN7621.JPG,1.0,13
DSCN7621.JPG,0.75,12
DSCN7621.JPG,0.5,10
DSCN7621.JPG,0.4,11
DSCN7621.JPG,0.3,10
DSCN7621.JPG,0.25,10
DSCN7621.JPG,0.2,13
DSCN7621.JPG,0.15,13
DSCN7621.JPG,1.0,13
DSCN7621.JPG,0.75,12
DSCN7621.JPG,0.5,10
DSCN7621.JPG,0.4,11
DSCN7621.JPG,0.3,10
DSCN7621.JPG,0.25,10
DSCN7621.JPG,0.2,13
DSCN7621.JPG,0.15,13
DSCN7622.JPG,1.0,7
DSCN7622.JPG,0.75,6
DSCN7622.JPG,0.5,7
DSCN7622.JPG,0.4,7
DSCN7622.JPG,0.3,7
DSCN7622.JPG,0.25,7
DSCN7622.JPG,0.2,7
DSCN7622.JPG,0.15,7
DSCN7622.JPG,1.0,7
DSCN7622.JPG,0.75,6
DSCN7622.JPG,0.5,7
DSCN7622.JPG,0.4,7
DSCN7622.JPG,0.3,7
DSCN7622.JPG,0.25,7
DSCN7622.JPG,0.2,7
DSCN7622.JPG,0.15,7
DSCN7623.JPG,1.0,22
DSCN7623.JPG,0.75,21
DSCN7623.JPG,0.5,21
DSCN7623.JPG,0.4,21
DSCN7623.JPG,0.3,21
DSCN7623.JPG,0.25,21
DSCN7623.JPG,0.2,21
DSCN7623.JPG,0.15,21
DSCN7623.JPG,1.0,22
DSCN7623.JPG,0.75,21
DSCN7623.JPG,0.5,21
DSCN7623.JPG,0.4,21
DSCN7623.JPG,0.3,21
DSCN7623.JPG,0.25,21
DSCN7623.JPG,0.2,21
DSCN7623.JPG,0.15,21
DSCN7624.JPG,1.0,9
DSCN7624.JPG,0.75,9
DSCN7624.JPG,0.5,9
DSCN7624.JPG,0.4,9
DSCN7624.JPG,0.3,9
DSCN7624.JPG,0.25,10
DSCN7624.JPG,0.2,10
DSCN7624.JPG,0.15,9
DSCN7624.JPG,1.0,9
DSCN7624.JPG,0.75,9
DSCN7624.JPG,0.5,9
DSCN7624.JPG,0.4,9
DSCN7624.JPG,0.3,9
DSCN7624.JPG,0.25,10
