imagem,threshold_box,n_deteccoes,n_pequeno,n_medio,n_grande
20260411_095437.jpg,0,5,0,1,4
20260411_095437.jpg,15,5,0,1,4
20260411_095437.jpg,20,5,0,1,4
20260411_095437.jpg,25,5,0,1,4
20260411_095437.jpg,30,5,0,1,4
20260411_095437.jpg,40,5,0,1,4
20260411_095437.jpg,50,5,0,1,4
20260411_095437.jpg,60,5,0,1,4
20260411_095437.jpg,0,5,0,1,4
20260411_095437.jpg,15,5,0,1,4
20260411_095437.jpg,20,5,0,1,4
20260411_095437.jpg,25,5,0,1,4
20260411_095437.jpg,30,5,0,1,4
20260411_095437.jpg,40,5,0,1,4
20260411_095437.jpg,50,5,0,1,4
20260411_095437.jpg,60,5,0,1,4
20260411_095445.jpg,0,0,0,0,0
20260411_095445.jpg,15,0,0,0,0
20260411_095445.jpg,20,0,0,0,0
20260411_095445.jpg,25,0,0,0,0
20260411_095445.jpg,30,0,0,0,0
20260411_095445.jpg,40,0,0,0,0
20260411_095445.jpg,50,0,0,0,0
20260411_095445.jpg,60,0,0,0,0
20260411_095445.jpg,0,0,0,0,0
20260411_095445.jpg,15,0,0,0,0
20260411_095445.jpg,20,0,0,0,0
20260411_095445.jpg,25,0,0,0,0
20260411_095445.jpg,30,0,0,0,0
20260411_095445.jpg,40,0,0,0,0
20260411_095445.jpg,50,0,0,0,0
20260411_095445.jpg,60,0,0,0,0
20260411_095448.jpg,0,5,0,0,5
20260411_095448.jpg,15,5,0,0,5
20260411_095448.jpg,20,5,0,0,5
20260411_095448.jpg,25,5,0,0,5
20260411_095448.jpg,30,5,0,0,5
20260411_095448.jpg,40,5,0,0,5
20260411_095448.jpg,50,5,0,0,5
20260411_095448.jpg,60,5,0,0,5
20260411_095448.jpg,0,5,0,0,5
20260411_095448.jpg,15,5,0,0,5
20260411_095448.jpg,20,5,0,0,5
20260411_095448.jpg,25,5,0,0,5
20260411_095448.jpg,30,5,0,0,5
20260411_095448.jpg,40,5,0,0,5
20260411_095448.jpg,50,5,0,0,5
20260411_095448.jpg,60,5,0,0,5
20260411_095448_resized.jpg,0,4,1,3,0
20260411_095448_resized.jpg,15,4,1,3,0
20260411_095448_resized.jpg,20,4,1,3,0
20260411_095448_resized.jpg,25,2,0,2,0
20260411_095448_resized.jpg,30,2,0,2,0
20260411_095448_resized.jpg,40,1,0,1,0
20260411_095448_resized.jpg,50,0,0,0,0
20260411_095448_resized.jpg,60,0,0,0,0
20260411_095448_resized.jpg,0,4,1,3,0
20260411_095448_resized.jpg,15,4,1,3,0
20260411_095448_resized.jpg,20,4,1,3,0
20260411_095448_resized.jpg,25,2,0,2,0
20260411_095448_resized.jpg,30,2,0,2,0
20260411_095448_resized.jpg,40,1,0,1,0
20260411_095448_resized.jpg,50,0,0,0,0
20260411_095448_resized.jpg,60,0,0,0,0
20260411_095511.jpg,0,1,0,1,0
20260411_095511.jpg,15,1,0,1,0
20260411_095511.jpg,20,1,0,1,0
20260411_095511.jpg,25,1,0,1,0
20260411_095511.jpg,30,1,0,1,0
20260411_095511.jpg,40,1,0,1,0
20260411_095511.jpg,50,1,0,1,0
20260411_095511.jpg,60,1,0,1,0
20260411_095511.jpg,0,1,0,1,0
20260411_095511.jpg,15,1,0,1,0
20260411_095511.jpg,20,1,0,1,0
20260411_095511.jpg,25,1,0,1,0
20260411_095511.jpg,30,1,0,1,0
20260411_095511.jpg,40,1,0,1,0
20260411_095511.jpg,50,1,0,1,0
20260411_095511.jpg,60,1,0,1,0
DSCN7611.JPG,0,3,0,0,3
DSCN7611.JPG,15,3,0,0,3
DSCN7611.JPG,20,3,0,0,3
DSCN7611.JPG,25,3,0,0,3
DSCN7611.JPG,30,3,0,0,3
DSCN7611.JPG,40,3,0,0,3
DSCN7611.JPG,50,3,0,0,3
DSCN7611.JPG,60,3,0,0,3
DSCN7611.JPG,0,3,0,0,3
DSCN7611.JPG,15,3,0,0,3
DSCN7611.JPG,20,3,0,0,3
DSCN7611.JPG,25,3,0,0,3
DSCN7611.JPG,30,3,0,0,3
DSCN7611.JPG,40,3,0,0,3
DSCN7611.JPG,50,3,0,0,3
DSCN7611.JPG,60,3,0,0,3
DSCN7612.JPG,0,4,0,0,4
DSCN7612.JPG,15,4,0,0,4
DSCN7612.JPG,20,4,0,0,4
DSCN7612.JPG,25,4,0,0,4
DSCN7612.JPG,30,4,0,0,4
DSCN7612.JPG,40,4,0,0,4
DSCN7612.JPG,50,4,0,0,4
DSCN7612.JPG,60,4,0,0,4
DSCN7612.JPG,0,4,0,0,4
DSCN7612.JPG,15,4,0,0,4
DSCN7612.JPG,20,4,0,0,4
DSCN7612.JPG,25,4,0,0,4
DSCN7612.JPG,30,4,0,0,4
DSCN7612.JPG,40,4,0,0,4
DSCN7612.JPG,50,4,0,0,4
DSCN7612.JPG,60,4,0,0,4
DSCN7613.JPG,0,5,0,0,5
DSCN7613.JPG,15,5,0,0,5
DSCN7613.JPG,20,5,0,0,5
DSCN7613.JPG,25,5,0,0,5
DSCN7613.JPG,30,5,0,0,5
DSCN7613.JPG,40,5,0,0,5
DSCN7613.JPG,50,5,0,0,5
DSCN7613.JPG,60,5,0,0,5
DSCN7613.JPG,0,5,0,0,5
DSCN7613.JPG,15,5,0,0,5
DSCN7613.JPG,20,5,0,0,5
DSCN7613.JPG,25,5,0,0,5
DSCN7613.JPG,30,5,0,0,5
DSCN7613.JPG,40,5,0,0,5
DSCN7613.JPG,50,5,0,0,5
DSCN7613.JPG,60,5,0,0,5
DSCN7614.JPG,0,1,0,0,1
DSCN7614.JPG,15,1,0,0,1
DSCN7614.JPG,20,1,0,0,1
DSCN7614.JPG,25,1,0,0,1
DSCN7614.JPG,30,1,0,0,1
DSCN7614.JPG,40,1,0,0,1
DSCN7614.JPG,50,1,0,0,1
DSCN7614.JPG,60,1,0,0,1
DSCN7614.JPG,0,1,0,0,1
DSCN7614.JPG,15,1,0,0,1
DSCN7614.JPG,20,1,0,0,1
DSCN7614.JPG,25,1,0,0,1
DSCN7614.JPG,30,1,0,0,1
DSCN7614.JPG,40,1,0,0,1
DSCN7614.JPG,50,1,0,0,1
DSCN7614.JPG,60,1,0,0,1
DSCN7615.JPG,0,4,0,1,3
DSCN7615.JPG,15,4,0,1,3
DSCN7615.JPG,20,4,0,1,3
DSCN7615.JPG,25,4,0,1,3
DSCN7615.JPG,30,4,0,1,3
DSCN7615.JPG,40,4,0,1,3
DSCN7615.JPG,50,4,0,1,3
DSCN7615.JPG,60,4,0,1,3
DSCN7615.JPG,0,4,0,1,3
DSCN7615.JPG,15,4,0,1,3
DSCN7615.JPG,20,4,0,1,3
DSCN7615.JPG,25,4,0,1,3
